@relation Exp2a_train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute X numeric
@attribute Y numeric
@attribute class {1,-1}

@data
5.9662,7.0222,-1
6.111,3.6675,-1
5.526,5.6103,-1
5.1129,5.451,-1
13.804,12.117,-1
16.93,15.026,-1
13.409,15.543,-1
14.942,15.123,-1
15.977,14.576,-1
14.572,13.988,-1
14.364,16.571,-1
14.898,14.386,-1
16.066,16.153,-1
12.674,14.797,-1
14.481,15.237,-1
14.451,14.153,-1
14.53,16.26,-1
15.303,14.144,-1
15.485,14.998,-1
11.864,16.509,-1
14.137,14.464,-1
16.126,14.424,-1
15.619,16.116,-1
16.143,14.625,-1
16.327,13.678,-1
14.97,15.804,-1
15.921,13.816,-1
13.233,12.694,-1
16.323,14.451,-1
13.425,15.777,-1
12.882,16.173,-1
14.888,14.179,-1
14.793,14.876,-1
15.227,16.152,-1
13.636,14.493,-1
14.003,16.202,-1
15.42,14.817,-1
14.971,15.641,-1
15.378,15.062,-1
15.677,15.604,-1
14.826,14.558,-1
15.01,13.969,-1
15.663,15.372,-1
15.341,14.183,-1
16.588,15.125,-1
14.933,15.128,-1
15.362,15.284,-1
15.666,14.904,-1
15.521,14.936,-1
14.954,14.929,-1
15.745,13.099,-1
15.612,15.474,-1
15.478,16.176,-1
15.206,15.061,-1
14.518,14.995,-1
12.424,13.654,-1
13.689,16.01,-1
15.48,13.117,-1
14.427,16.403,-1
13.302,14.835,-1
15.48,13.608,-1
15.384,16.734,-1
15.724,16.233,-1
16.187,15.321,-1
15.367,16.149,-1
16.929,13.351,-1
16.537,14.198,-1
13,13.842,-1
13.605,15.55,-1
14.781,16.558,-1
14.284,14.999,-1
15.051,16.171,-1
16.332,12.962,-1
15.38,13.642,-1
15.266,15.114,-1
13.181,15.317,-1
15.258,14.612,-1
13.983,17.222,-1
15.591,13.346,-1
